timestamp, memory.used [MiB], memory.total [MiB]
2025/04/28 15:10:21.031, 358 MiB, 12282 MiB
2025/04/28 15:10:22.032, 726 MiB, 12282 MiB
2025/04/28 15:10:23.032, 824 MiB, 12282 MiB
2025/04/28 15:10:24.032, 824 MiB, 12282 MiB
2025/04/28 15:10:25.032, 824 MiB, 12282 MiB
2025/04/28 15:10:26.033, 824 MiB, 12282 MiB
2025/04/28 15:10:27.033, 824 MiB, 12282 MiB
2025/04/28 15:10:28.033, 826 MiB, 12282 MiB
2025/04/28 15:10:29.033, 826 MiB, 12282 MiB
2025/04/28 15:10:30.033, 824 MiB, 12282 MiB
2025/04/28 15:10:31.033, 824 MiB, 12282 MiB
2025/04/28 15:10:32.034, 824 MiB, 12282 MiB
2025/04/28 15:10:33.034, 824 MiB, 12282 MiB
2025/04/28 15:10:34.034, 824 MiB, 12282 MiB
2025/04/28 15:10:35.034, 824 MiB, 12282 MiB
2025/04/28 15:10:36.034, 826 MiB, 12282 MiB
2025/04/28 15:10:37.035, 826 MiB, 12282 MiB
2025/04/28 15:10:38.035, 824 MiB, 12282 MiB
2025/04/28 15:10:39.035, 824 MiB, 12282 MiB
2025/04/28 15:10:40.035, 824 MiB, 12282 MiB
2025/04/28 15:10:41.035, 824 MiB, 12282 MiB
2025/04/28 15:10:42.036, 824 MiB, 12282 MiB
2025/04/28 15:10:43.036, 826 MiB, 12282 MiB
2025/04/28 15:10:44.036, 826 MiB, 12282 MiB
2025/04/28 15:10:45.036, 258 MiB, 12282 MiB
2025/04/28 15:10:46.037, 258 MiB, 12282 MiB
2025/04/28 15:10:47.037, 258 MiB, 12282 MiB
2025/04/28 15:10:48.037, 358 MiB, 12282 MiB
2025/04/28 15:10:49.037, 358 MiB, 12282 MiB
2025/04/28 15:10:50.037, 358 MiB, 12282 MiB
2025/04/28 15:10:51.038, 358 MiB, 12282 MiB
2025/04/28 15:10:52.038, 1272 MiB, 12282 MiB
2025/04/28 15:10:53.038, 580 MiB, 12282 MiB
2025/04/28 15:10:54.038, 672 MiB, 12282 MiB
2025/04/28 15:10:55.039, 562 MiB, 12282 MiB
2025/04/28 15:10:56.039, 554 MiB, 12282 MiB
2025/04/28 15:10:57.039, 158 MiB, 12282 MiB
2025/04/28 15:10:58.039, 258 MiB, 12282 MiB
2025/04/28 15:10:59.039, 356 MiB, 12282 MiB
2025/04/28 15:11:00.040, 358 MiB, 12282 MiB
2025/04/28 15:11:01.040, 388 MiB, 12282 MiB
2025/04/28 15:11:02.040, 808 MiB, 12282 MiB
2025/04/28 15:11:03.040, 810 MiB, 12282 MiB
2025/04/28 15:11:04.041, 808 MiB, 12282 MiB
2025/04/28 15:11:05.041, 810 MiB, 12282 MiB
2025/04/28 15:11:06.041, 810 MiB, 12282 MiB
2025/04/28 15:11:07.041, 158 MiB, 12282 MiB
2025/04/28 15:11:08.041, 258 MiB, 12282 MiB
2025/04/28 15:11:09.041, 358 MiB, 12282 MiB
2025/04/28 15:11:10.042, 358 MiB, 12282 MiB
2025/04/28 15:11:11.042, 528 MiB, 12282 MiB
2025/04/28 15:11:12.042, 528 MiB, 12282 MiB
2025/04/28 15:11:13.042, 528 MiB, 12282 MiB
2025/04/28 15:11:14.042, 528 MiB, 12282 MiB
2025/04/28 15:11:15.043, 528 MiB, 12282 MiB
2025/04/28 15:11:16.043, 528 MiB, 12282 MiB
2025/04/28 15:11:17.043, 980 MiB, 12282 MiB
2025/04/28 15:11:18.043, 980 MiB, 12282 MiB
2025/04/28 15:11:19.043, 980 MiB, 12282 MiB
2025/04/28 15:11:20.044, 980 MiB, 12282 MiB
2025/04/28 15:11:21.044, 980 MiB, 12282 MiB
2025/04/28 15:11:22.044, 980 MiB, 12282 MiB
2025/04/28 15:11:23.044, 980 MiB, 12282 MiB
2025/04/28 15:11:24.044, 980 MiB, 12282 MiB
2025/04/28 15:11:25.045, 980 MiB, 12282 MiB
2025/04/28 15:11:26.045, 980 MiB, 12282 MiB
2025/04/28 15:11:27.045, 980 MiB, 12282 MiB
2025/04/28 15:11:28.045, 980 MiB, 12282 MiB
2025/04/28 15:11:29.045, 980 MiB, 12282 MiB
2025/04/28 15:11:30.045, 980 MiB, 12282 MiB
2025/04/28 15:11:31.046, 980 MiB, 12282 MiB
2025/04/28 15:11:32.046, 980 MiB, 12282 MiB
2025/04/28 15:11:33.046, 980 MiB, 12282 MiB
2025/04/28 15:11:34.046, 980 MiB, 12282 MiB
2025/04/28 15:11:35.046, 980 MiB, 12282 MiB
2025/04/28 15:11:36.047, 980 MiB, 12282 MiB
2025/04/28 15:11:37.047, 980 MiB, 12282 MiB
2025/04/28 15:11:38.047, 980 MiB, 12282 MiB
2025/04/28 15:11:39.047, 980 MiB, 12282 MiB
2025/04/28 15:11:40.048, 980 MiB, 12282 MiB
2025/04/28 15:11:41.048, 980 MiB, 12282 MiB
2025/04/28 15:11:42.048, 980 MiB, 12282 MiB
2025/04/28 15:11:43.048, 980 MiB, 12282 MiB
2025/04/28 15:11:44.048, 980 MiB, 12282 MiB
2025/04/28 15:11:45.049, 980 MiB, 12282 MiB
2025/04/28 15:11:46.049, 980 MiB, 12282 MiB
2025/04/28 15:11:47.049, 980 MiB, 12282 MiB
2025/04/28 15:11:48.049, 980 MiB, 12282 MiB
2025/04/28 15:11:49.049, 980 MiB, 12282 MiB
2025/04/28 15:11:50.049, 256 MiB, 12282 MiB
